Product_Name,Secondary_Info,Product_Price,URL
"GOLD LENOVO T470 FAST LAPTOP CORE i5 16GB RAM 512GB SSD WINDOWS 10/11 14"" HD
Opens in a new window or tab",New (Other),"ZAR 12,566.50",https://www.ebay.com/itm/175909459399?_skw=laptops&itmmeta=01JPYBTMY53YJ53FET4QNADD4F&hash=item28f50555c7:g:VU0AAOSwbN1lCaxI&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dfqN3m3R1tEiZYgRdPZJUaotbrMIJKeOii0B2YniPDS2X67LbwAaVAc%2BSkYd8fYotc2lDh6w%2BdCp%2FWnjrPt70jhNIpEe1e8eloGLlmePIVxXqlABYpau%2BLyh6N0RLuesOSJAUeqh6Vr44fZ885zMpTX673cA3JKBwggesMYHuXXjiqb5f6zpNAqUgsSmD7psCKlyLLLpWqkyXbprywQfayi7CSM%2BwPRLopugguZd9FGN0LpJrmZBY0VJxXPM2LhOIzOSfOL6LcRi0u%2F49AsZ%2Bp%7Ctkp%3ABk9SR8TP6su3ZQ
"HP Chromebook 13G1 Core M5. 8GB RAM 32GB SSD
Opens in a new window or tab",Good - Refurbished,"ZAR 4,238.56",https://www.ebay.com/itm/167238098069?_skw=laptops&itmmeta=01JPYBTMY5DCYTS2673V5AFTR9&hash=item26f02adc95:g:9woAAOSw~mBnfU35&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dawLzaTo1661B8EOltL0uOGlS0nuP7LKywvx6uZHigMHe13v0Eumr%2Fov5GDTKu2pn03dto42SXmbP67h%2BYiPDlf2atM9Ve02zaWL98hKUYGWJI7pt52SlfaHpJA8teYOnEP7BUlI7YYbQfr6DHzh4k1YHz%2FIxlHFQmu9LZNQ6VWq26ydukmvzalQ0YyQyDfNsXhRp9oytJZ7nmscH0rbvuhLDUVgIK3f39P9T4HnSW8Vk0R5vxASZCWKHgd%2FQgBF3qNfd0VjRjpwuvOGdme6Ii%7Ctkp%3ABk9SR8TP6su3ZQ
"HP PROBOOK 640 G4 14.0 in Core i5 8250U 16 GB 256 GB Storage, Windows 11 Pro
Opens in a new window or tab",Very Good - Refurbished,"ZAR 3,649.84 to ZAR 6,946.68",https://www.ebay.com/itm/205104555692?_skw=laptops&itmmeta=01JPYBTMY5G2Q72TQK57SYNAD4&hash=item2fc12f26ac:g:Ms8AAOSw8CFnNk1c&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1e9Q6I6K2coI7v5NxG4Iw0fG6hVwDkh5JFzgsXwzEBVLCemg6bSh1Vh8cKPm957E1VoapDgVOcmM8lzw4%2FHGLqnFt8pPb3EAq6OqG4bOqKlmlnGu57JNQR4G4LN6JDx%2FQid7YktJmRra2j%2BCYes9BHh7w8VrW30Cy8rmo%2BiA89C%2BzBGFAQzwCmqYE9NKp6DR2VruqCv8LtU3nCbzqKDCiUR0L5Q6kI4Id%2Bmzc1y%2FjWFcZ%2FaRZHBr0C3ib6q%2BxhTIIMi0abfTLUjrENFbxuARP8P%7Ctkp%3ABFBMxM_qy7dl
"HP Elitebook 745 G6, Ryzen 5 PRO 3500U, 16GB, 256GB SSD, Windows 11 Home
Opens in a new window or tab",Pre-Owned,"ZAR 1,676.13",https://www.ebay.com/itm/205336965669?_skw=laptops&itmmeta=01JPYBTMY5YDKBWXDWYYTMG0HE&hash=item2fcf097225:g:MwUAAOSwquJnygC5&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fsQKWrdN10Fyj9sOYdt%2FvydXtDTzIKFwiqykdBBoXVZiVxkycVVvDM0n87zULbyiSspEhw76lDFyKCa7JgtulNdEi25FB%2Bz6TjajeZRL3oaQPqemMmO6vTUjmbOdRtAB2yeS%2FHh0irG7hJmsE00xhRsu2NXJhM0kr6HjHAeCEDG7ZraRyk5QX19lkFWQpNVv4W7eKs1kpfzGKmnVponndVZ406Z2%2FvMGDKgyA7Bdk%2FUsaP1%2FdV%2BY2qLRdtqhXQXYnAFfqNzOxvFcDgTlddlBvl%7Ctkp%3ABFBMxM_qy7dl
"Laptop Dell Windows 11 CORE i5 GEN 6 - 12TH GEN 64GB RAM 1TB SSD WEBCAM WIFI
Opens in a new window or tab",Very Good - Refurbished,"ZAR 2,734.03",https://www.ebay.com/itm/116402562064?_skw=laptops&itmmeta=01JPYBTMY5QCS2MKWM0N4C68AV&hash=item1b1a222410:g:40YAAOSwyXtnRQjW&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1c7kZiMOKCC%2FxwEQyXFWXSc5GAt7lMY0M%2BF3EVVHHGRAXwuKXq0jqIKTetiJ28e9FmdRhkrIZWrrdw0RzEyIkizPOSMlrCwChPNIKIlVZyvnBk%2Bhh79R5JqhEfQGAkSX4SrfqPhUbY1spP9jo8Zc9gG0uf4B2bo2QwPuhfPg%2BgziQdq3BQotAYdyHt%2BGVM2MjylEVHvqk37%2FjvhC5Ws4kpaEsEGaXsxfiosMoEWWr1rOIpMG2XPsFd7P2pW2G%2BM0J%2B4U3ZT3Ai%2FdKHvfurAxmqb%7Ctkp%3ABFBMxs_qy7dl
"FAST CHEAP CORE i3 i5 LAPTOP 8GB RAM 240GB SSD Wi-Fi Windows 10 HDMI Webcam WiFi
Opens in a new window or tab",Excellent - Refurbished,"ZAR 3,280.88",https://www.ebay.com/itm/115450440349?_skw=laptops&itmmeta=01JPYBTMY537NNZP4PG6Q8PSFJ&hash=item1ae161ea9d:g:6h0AAOSwna5ivwU9&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1emo9FK%2BQxdd%2BJApnebkMsIhO1PDrNDb7GXDDaaaqO8QBCU9mBCYcu3Otuc%2Bb3YR9MTixbVyu%2F7FeHA5F8Uad9yky6PVYirsTNMkApfoOxKYGiSrEnUk6Hvzkyq1hlxAnFWOWNQKJDm6UJ3OcUGHwkEU2d8Tx89EQuX9xs3OOkTvJchZ6rwHFgNuaVsJPfxgj5ywCvncnhFJ1HS%2FW4ubD%2B8QwEPf4FVOtjwgcTAWQDp--R2bEUnm5SgC9%2FIWNtwsYoRVHe7Yes2KC3riLvfQdnn%7Ctkp%3ABFBMxs_qy7dl
"Dell Latitude 7400 2-in-1 Laptop i7-8665U 16GB RAM 512GB SSD Win11 Pro (VG)
Opens in a new window or tab",Good - Refurbished,"ZAR 3,767.59 to ZAR 13,893.61",https://www.ebay.com/itm/335859888737?_skw=laptops&epid=24063331691&itmmeta=01JPYBTMY5TE4G19BYR4QY3H4Q&hash=item4e32cf3261:g:Fn8AAOSwF5hniNxK&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cYbkSjuYGN1Xh1X%2Fj%2FVxShdQsrbSF1IL44LQ1XPYR1fqw8%2BV%2FI6siOiSI5yDAdsMBt2GQL6t2jY21ZKDX%2BoJ9JCrfehgEcfZgSYfuP8%2BtRviDfI1fDB0wgSecUU8alaY4u9nhMGpHNDAegyEjd3ZVJVADPT%2BdnXnwmWUiIGI5mhhwXmnRYXzo0JNKTdu3Md4%2FkEqnqxbt6FYCywH35MhfDK3DbvJu%2B1HVlofLF6g2BWQ%3D%3D%7Ctkp%3ABk9SR8bP6su3ZQ
"Dell Latitude 5401 Laptop, Touchscreen, i5-9400H, 32GB RAM, 512GB SSD, Nvidia
Opens in a new window or tab",Good - Refurbished,"ZAR 2,590.14 to ZAR 3,296.61",https://www.ebay.com/itm/335802056730?_skw=laptops&itmmeta=01JPYBTMY5W0Y8ZFMVFKEATCJY&hash=item4e2f5cc01a:g:glwAAOSwT5dnGMeG&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ettniT0SVkCaeh2fKWeturv%2Fx7nBLEPFNKfYRzRaIvxoxZEYnpPjSYvyVdkMmnHjYlCaoG%2B3Rkb--7nVbyshC815TOeBS0zbQ%2BRVDztGBQe5EFA7d2XUhmyjq5vlXzctor1RYavEnSkX64GmNxjUofoidHgrZjQaHNbgE%2Fd0FjNq7bXz0Op3kdBRSKVpOGqEeqkmDv%2BIYO4M9Y2RLlvQH1U7Nv7B6t6Nyw%2FuVJXWKCOQ%3D%3D%7Ctkp%3ABk9SR8bP6su3ZQ
"Dell Precision 3560 15.6"" HD i7-1165G7 16GB 256GB NVMe NvidiaT500
Opens in a new window or tab",Very Good - Refurbished,"ZAR 6,946.92",https://www.ebay.com/itm/296985980233?_skw=laptops&itmmeta=01JPYBTMY5J9WAMZ96TCY7F8EM&hash=item4525be6d49:g:rKUAAOSwoltnwLrV&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cY9At8%2FfNFT86GlILLwe6WQY9o%2FMu6gwVHHD5cJnRUeBP2%2FAMuXDE5B3Bnnq6X2CoMPNlVqttKIb0O9xW%2B7O30ahVI2oSVgcpQZ3jL6uRb31N1a46CQtZ3Kdq%2F0kO9LmI5Odi9JehD4yb5xUeuJO2HP53tPAI8v3bNQehDi%2BAyBou1rA4%2FdBj%2BRvDh9hZkafJL86wPCTUhsrxLi8sqd%2BQMZF7W--gsXonEaqmR9Q31pMEfLdNECmxoCUKZhKKZrr9SlyoZGh9wgBPFKOjY16Ss%7Ctkp%3ABk9SR8bP6su3ZQ
"FAST Lenovo Thinkpad X1 Carbon 7th Gen 7500U Core i7 8GB RAM-256SSD Win 11 (3).
Opens in a new window or tab",Very Good - Refurbished,"ZAR 7,062.31",https://www.ebay.com/itm/296992502918?_skw=laptops&itmmeta=01JPYBTMY5M34T5XHNXRGNJ31S&hash=item452621f486:g:hHMAAOSwX1BnmjEw&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cs4Mn%2BD4q54e6PWfOLYw9RJLDgo9Ba38CKxvJ5nXyhYbtbjMnOum3f%2BEFLTZQI5opBPkMalTNSjSuLHThkk8MtGV0z1FN%2FnuAk4njB9RNhUJfW6zeokkmlyQdlJW5x2REfEYP5KNCOqcGZBaiRarMAr8wgN4QT6PIOtdyCjzDQ95sqCd7GlVSK%2FTlo19UJOd8Gs6UPmiYmDRDYPJa2OeVTEakb9SqgvUj4i48QTFo8QQ%3D%3D%7Ctkp%3ABk9SR8bP6su3ZQ
